# 未分类频道列表 (按源分类分组)

未分类,#genre#
CGTN西班牙语,http://218.86.187.64:4022/rtp/238.255.2.209:5999
CGTN西班牙语,http://220.169.100.41:10087/udp/239.76.246.88:1234
CGTN西班牙语,http://220.169.100.41:10087/udp/239.76.253.88:9000
CGTN西班牙语,http://220.169.109.72:802/udp/239.76.246.88:1234
CGTN西班牙语,http://220.169.109.72:802/udp/239.76.253.88:9000
CGTN西班牙语,http://27.184.64.107:58888/rtp/239.254.201.209:4220
CGTN西班牙语,http://36.46.98.189:8025/rtp/239.111.205.33:5140
CGTN西班牙语,http://36.46.98.4:8025/rtp/239.111.205.33:5140
CGTN西班牙语,http://39.65.177.250:4022/rtp/239.253.254.182:8000
CGTN西班牙语,http://42.228.37.147:8190/rtp/225.1.5.36:1346
CGTN西班牙语,http://58.46.30.89:8188/udp/239.76.246.88:1234
CGTN西班牙语,http://58.46.30.89:8188/udp/239.76.253.88:9000
CGTN西班牙语,http://61.140.124.88:10022/udp/239.77.0.221:5146
CGTN西班牙语,http://61.159.134.254:18000/rtp/238.255.2.209:5999
CGTN西班牙语,http://61.159.134.62:4022/rtp/238.255.2.209:5999
CGTN西班牙语,http://61.159.135.98:4022/rtp/238.255.2.209:5999
CGTN记录,http://106.116.127.5:4022/rtp/239.254.201.208:4220
CGTN记录,http://106.116.242.252:9999/rtp/239.254.201.208:4220
CGTN记录,http://111.226.232.106:10010/rtp/239.254.201.208:4220
CGTN记录,http://112.66.88.58:8188/rtp/239.253.64.58:5140
CGTN记录,http://223.198.246.247:4000/rtp/239.253.64.58:5140
CGTN记录,http://27.184.64.107:58888/rtp/239.254.201.208:4220
CGTN记录片,http://171.113.209.201:4022/rtp/239.69.1.233:11040
CGTN阿拉伯语,http://106.116.127.5:4022/rtp/239.254.201.211:4220
CGTN阿拉伯语,http://106.116.242.252:9999/rtp/239.254.201.211:4220
CGTN阿拉伯语,http://106.45.2.14:4000/rtp/239.121.4.207:8026
CGTN阿拉伯语,http://106.59.2.81:55555/udp/239.200.201.186:4220
CGTN阿拉伯语,http://106.59.3.118:55555/udp/239.200.201.186:4220
CGTN阿拉伯语,http://111.123.103.198:8881/rtp/238.255.2.211:5999
CGTN阿拉伯语,http://111.226.232.106:10010/rtp/239.254.201.211:4220
CGTN阿拉伯语,http://113.119.27.49:58888/udp/239.253.43.200:5146
CGTN阿拉伯语,http://113.120.170.217:4022/udp/239.21.2.34:5002
CGTN阿拉伯语,http://113.120.46.204:8123/udp/239.21.2.34:5002
CGTN阿拉伯语,http://113.128.128.140:8688/udp/239.21.2.34:5002
CGTN阿拉伯语,http://114.241.222.27:4022/rtp/239.3.1.219:4220
CGTN阿拉伯语,http://114.241.244.154:4022/rtp/239.3.1.219:4220
CGTN阿拉伯语,http://114.254.35.218:18888/rtp/239.3.1.219:4220
CGTN阿拉伯语,http://114.254.35.246:8888/rtp/239.3.1.219:4220
CGTN阿拉伯语,http://116.21.205.63:8188/udp/239.253.43.200:5146
